18-068914-FC01,2018-05-01,Atkinson,683 Fleetwood Avenue W Willacoochee, Georgia,31650,Mortgage Electronic Registration Systems, Inc., as nominee for First Bank Mortgage A Division of First Bank of Georgia its successors and assigns,2007-11-27,93887,,Auction.com
16-057954-FC02,2018-05-01,Baldwin,191 Crystal Ridge Drive NW Milledgeville, Georgia,31061,Mortgage Electronic Registration Systems, Inc. as nominee for Guaranty Trust Company,2010-10-18,123831,,Auction.com
18-068718-FC01,2018-05-01,Barrow,137 Creekwood Road Winder, Georgia,30680,Mortgage Electronic Registration Systems, Inc., as nominee for Taylor, Bean & Whitaker Mortgage Corp., its successors and assigns,2005-05-04,62930,,Chronos Solutions
18-068932-FC01,2018-05-01,Barrow,1418 Princeton Drive Statham, Georgia,30666,Wells Fargo Home Mortgage, Inc.,2003-08-13,119900,,Auction.com
17-067136-FC03,2018-05-01,Bartow,19 Elizabeth Road Cartersville, Georgia,30120,Mortgage Electronic Registration Systems, Inc. as nominee for Lend America, A New York Corporation, its successors and assigns,2009-01-28,129731,,ServiceLink Auction
16-062979-FC01,2018-05-01,Bartow,16 Windfield Drive Cartersville, Georgia,30121,Mortgage Electronic Registration Systems, Inc. as nominee for Homestar Financial Corp., its successors and assigns,2010-10-22,104703,,Auction.com
17-067080-FC01,2018-05-01,Bibb,640 Shadow Moss Drive Macon, Georgia,31204,Mortgage Electronic Registration Systems, Inc. as nominee for Macon Mortgage, Inc.,2007-02-28,83500,,Auction.com
17-067624-FC03,2018-05-01,Bibb,5803 Leone Drive Macon, Georgia,31206,Centex Home Equity Company, LLC,2006-04-22,60000,,Xome.com
18-068161-FC02,2018-05-01,Bibb,6769 Vonreg Drive Macon, Georgia,31216,Mortgage Electronic Registration Systems, Inc. as nominee for Quicken Loans Inc., its successors and assigns,2016-11-07,83892,,Auction.com
18-068267-FC02,2018-05-01,Bibb,910 Ridge Crest Court Macon, Georgia,31204,Bank of America, N.A.,2010-03-26,95243,,
18-068595-FC02,2018-05-01,Bibb,3745 & 3751 Dorothy Drive Macon, Georgia,31217,Wells Fargo Financial Bank,2006-07-12,41000,,
18-068682-FC01,2018-05-01,Bibb,611 Manning Mill Macon, Georgia,31216,Mortgage Electronic Registration Systems, Inc., as nominee for Security Real Estate Services, Inc. dba Security Mortgage, its successors and assigns,2008-09-30,137490,,Auction.com
18-068692-FC01,2018-05-01,Bibb,5749 Sorrell Drive Macon, Georgia,31216,Mortgage Electronic Registration Systems, Inc., as nominee for Fidelity Bank d/b/a Fidelity Bank Mortgage, its successors and assigns,2013-04-22,95000,,
18-069146-FC01,2018-05-01,Bibb,855 Trade Wind Road Macon, Georgia,31206,Mortgage Electronic Registration Systems, Inc. as nominee for VAMortgageCenter.com, its successors and assigns,2009-01-13,174958,,
18-068587-FC01,2018-05-01,Bryan,965 Rushing Street Richmond Hill, Georgia,31324,Mortgage Electronic Registration Systems, Inc., as nominee for SurePoint Lending abn First Residential Mortgage Network, Inc., its successors and assigns,2009-02-06,123117,,ServiceLink Auction
18-068707-FC01,2018-05-01,Bulloch,2048 Plantation Pointe Drive Statesboro, Georgia,30461,Mortgage Electronic Registration Systems, Inc., as nominee for New South Federal Savings Bank, its successors and assigns,2008-08-28,309514,,
17-064798-FC02,2018-05-01,Burke,1811 Cates Mead Road Waynesboro, Georgia,30830,ABN AMRO Mortgage Group, Inc.,2003-01-03,80000,,Auction.com
04-3919-FC03,2018-05-01,Butts,204 Bonnie's Way Jenkinsburg, Georgia,30234,Sun America Mortgage Corporation,2001-09-28,100550,,Auction.com
18-068468-FC01,2018-05-01,Carroll,132 S Lakeshore Drive Carrollton, Georgia,30117,United Community Bank,2007-05-24,301494.51,,
18-068687-FC01,2018-05-01,Carroll,216 Ivey Lake Parkway Temple, Georgia,30179,Mortgage Electronic Registration Systems, Inc., as nominee for Homestar Financial Corp., its successors and assigns,2009-11-03,145500,,Auction.com
18-068756-FC01,2018-05-01,Catoosa,91 Pintail Drive Ringgold, Georgia,30736,Mortgage Electronic Registration Systems, Inc. as nominee for Peoples Home Equity Inc., its successors and assigns,2012-06-05,169767,,ServiceLink Auction
18-068809-FC01,2018-05-01,Catoosa,5283 Hwy 41 Ringgold, Georgia,30736,Mortgage Electronic Registration Systems, Inc. as nominee for Accredited Home Lenders. Inc. A California Corporation,2006-08-09,90100,,
17-065252-FC01,2018-05-01,Catoosa,241 Meadow Green Drive Ringgold, Georgia,30736,First Tennessee Bank National Association,1993-06-28,68464,,Altisource
13-038594-FC02,2018-05-01,Chatham,1604 East 56th Street Savannah, Georgia,31404,Mortgage Electronic Registration Systems, Inc. as nominee for Fremont Investment & Loan,2005-10-21,78200,,
17-066590-FC03,2018-05-01,Chatham,11 Earl Court Savannah, Georgia,31406,Mortgage Electronic Registration Systems, Inc. as nominee for Aurora Loan Services Inc., its successors and assigns,2001-11-26,49977,,Auction.com
18-068564-FC01,2018-05-01,Chatham,127 Wyckfield Road Savannah, Georgia,31410,Mortgage Electronic Registration Systems, Inc. as nominee for Walker Jackson Mortgage Corporation, its successors and assigns,2009-10-26,217885,,Chronos Solutions
17-067723-FC03,2018-05-01,Chatham,30 Burke Street Garden City, Georgia,31408,American General Financial Services, Inc.,2002-11-11,30500,,
17-066907-FC02,2018-05-01,Chatham,21 Beacon Lane Port Wentworth, Georgia,31407,SunTrust Mortgage, Inc.,2008-04-22,127603,,Auction.com
17-067339-FC01,2018-05-01,Chatham,2142 Vermont Avenue Savannah, Georgia,31404,Associates Home Equity,2000-12-11,75603.67999999999,,
18-068804-FC01,2018-05-01,Cherokee,202 Woodland Way Canton, Georgia,30114,Mortgage Electronic Registration Systems, Inc. as nominee for Everbank, its successors and assigns,2012-07-20,121300,,Auction.com
18-069049-FC01,2018-05-01,Cherokee,105 Woodview Court Woodstock, Georgia,30188,Mortgage Electronic Registration Systems, Inc. as nominee for First Magnus Financial Corporation,2007-01-10,291025,,
15-056113-FC03,2018-05-01,Cherokee,613 Black Hawk Lane Canton, Georgia,30114-4290,Mortgage Electronic Registration Systems, Inc., as nominee for Platinum Mortgage, Inc., its successors and assigns,2014-08-01,278693,,Auction.com
