17-066413-FC02,3/6/2018,Chatham,"4103 7th Street Garden City, Georgia",31408,"Wachovia Bank, National Association",5/21/2007,50000,,,,,,,
17-067759-FC01,3/6/2018,Chatham,"2536 Little John Court Savannah, Georgia",31406,"Mortgage Electronic Registration Systems, Inc., as nominee for Countrywide Home Loans, Inc., its successors and assigns",3/7/2007,149600,,Auction.com,,,,,
16-063288-FC03,3/6/2018,Chattooga,"186 Maffett Street Trion, Georgia",30753,"Mortgage Electronic Registration Systems, Inc. as nominee for Freedom Mortgage Corporation, its successors and assigns",2/8/2008,61952,,Chronos Solutions,,,,,
14-047317-FC02,3/6/2018,Chattooga,"70 Bell Street Menlo, Georgia",30731,"Mortgage Electronic Registration Systems, Inc. as nominee for Regions Bank d/b/a Regions Mortgage and its successors and assigns",3/25/2009,86487,,Auction.com,,,,,
17-068033-FC01,3/6/2018,Cherokee,"654 Lorimore Pass Canton, Georgia",30115,"Mortgage Electronic Registration Systems, Inc., as nominee for Pulte Mortgage LLC, its successors and assigns",6/27/2008,220282,,Chronos Solutions,,,,,
18-068334-FC01,3/6/2018,Cherokee,"303 Jason Court Woodstock, Georgia",30188,"Washington Mutual Bank, FA",2/18/2005,131240,,Auction.com,,,,,
18-068375-FC01,3/6/2018,Cherokee,"1142 Britley Park Lane Woodstock, Georgia",30189,"Mortgage Electronic Registration Systems, Inc., as nominee for Home America Mortgage, Inc.",10/23/2003,113800,,Auction.com,,,,,
17-066798-FC01,3/6/2018,Cherokee,"104 Meadow Brook Court Woodstock, Georgia",30188,First Horizon Home Loan Corporation,7/16/2004,319900,,Auction.com,,,,,
15-054144-FC04,3/6/2018,Clarke,"145 Kings Circle Athens, Georgia",30606,"Wells Fargo Bank, N.A.",2/28/2005,100424,,Auction.com,,,,,
17-066754-FC02,3/6/2018,Clarke,"1035 Barnett Shoals Road Athens, Georgia",30605,"Wells Fargo Bank, N.A.",4/28/2006,113320,,Auction.com,,,,,
17-066626-FC02,3/6/2018,Clarke,"2465 Winterville Road Athens, Georgia",30605,"Mortgage Electronic Registration Systems, Inc. as nominee for Home America Mortgage, Inc., its successors and assigns",11/11/2005,53804,,Auction.com,,,,,
17-065197-FC02,3/6/2018,Clarke,"108 Tupelo Court Athens, Georgia",30606,"Washington Mutual Bank, FA",1/27/2003,118362,,Auction.com,,,,,
18-068339-FC01,3/6/2018,Clarke,"440 Quailwood Drive Athens, Georgia",30606,"Wells Fargo Home Mortgage, Inc.",3/31/2004,117653,,Auction.com,,,,,
17-068066-FC01,3/6/2018,Clayton,"5677 Grande River Road College Park, Georgia",30349,"Mortgage Electronic Registration Systems, Inc. as nominee for Broker Solutions, Inc. dba New American Funding, its successors and assigns",6/29/2017,145112,,Auction.com,,,,,
17-066437-FC02,3/6/2018,Clayton,"6270 Lakeview Court Rex, Georgia",30273,"Mortgage Electronic Registration Systems, Inc. as nominee for Real Estate Mortgage Network, Inc. A Corporation, its successors and assigns",10/26/2009,85914,,Auction.com,,,,,
17-067327-FC02,3/6/2018,Clayton,"12278 Stillman Court Hampton, Georgia",30228,"Bank of America, N.A.",7/31/2009,154581,,Auction.com,,,,,
17-067062-FC02,3/6/2018,Clayton,"6362 Bell Haven Lane Riverdale, Georgia",30296,"Wells Fargo Home Mortgage, Inc.",7/1/2002,119039,,Auction.com,,,,,
13-043478-FC02,3/6/2018,Clayton,"742 Georgetown Court Jonesboro, Georgia",30236,"Mortgage Electronic Registration Systems, Inc. as nominee for Irwin Mortgage Corporation, its successors and assigns",10/13/2005,111120,,Auction.com,,,,,
03-0579-FC04,3/6/2018,Clayton,"10577 Tobano Trail Jonesboro, Georgia",30238,Unity Mortgage Corp.,3/5/1999,108594,,Auction.com,,,,,
11-019019-FC09,3/6/2018,Clayton,"3129 Pier II Jonesboro, Georgia",30236,Monticello Bank,1/16/2003,877500,,,,,,,
12-031227-FC05,3/6/2018,Clayton,"13080 Rangely Hills Drive Hampton, Georgia",30228,Sun America Mortgage Corporation,6/17/2002,166950,,Auction.com,,,,,
10-007107-FC06,3/6/2018,Clayton,"6428 Katie Lane Morrow, Georgia",30260,"Mortgage Electronic Registration Systems, Inc., as nominee for Pinnacle Financial Corporation",7/25/2003,121597,,Auction.com,,,,,
16-061256-FC02,3/6/2018,Clayton,"4626 Treasure Court Forest Park, Georgia",30297,"Mortgage Electronic Registration Systems, Inc., as nominee for Community Capital Bank, its successors and assigns",12/30/2010,153324,,ServiceLink Auction,,,,,
17-063573-FC02,3/6/2018,Clayton,"1878 Sawgrass Drive Hampton, Georgia",30228,"Mortgage Electronic Registration Systems, Inc. as nominee for AmericaHomeKey, Inc., its successors and assigns",11/12/2009,112917,,ServiceLink Auction,,,,,
17-063720-FC02,3/6/2018,Cobb,"1871 Cedar Cliff Drive Smyrna, Georgia",30080,"Wells Fargo Home Mortgage, Inc.",5/1/2003,183693,,Auction.com,,,,,
13-044354-FC02,3/6/2018,Cobb,"3900 Mistymorn Place Powder Springs, Georgia",30127,"Mortgage Electronic Registration Systems, Inc. as nominee for Fremont Investment & Loan, its successors and assigns",3/21/2005,150300,,Xome.com,,,,,
17-067830-FC01,3/6/2018,Cobb,"5052 Brighthampton Drive SE Atlanta, Georgia",30339,"Mortgage Electronic Registration Systems, Inc. as nominee for CBC National Bank, its successors and assigns",7/11/2017,267073,,Auction.com,,,,,
